Team,Player,month,m,x_1,x_2,Intercept,WPA,Cent%,BABIP,BB/K,LD%,GB%,Oppo%,FB%,HR/FB,Pull%
,,5,87,22,12,1,-0.32,-0.068833333,0.009,0.121666667,-0.000333333,0.066166667,-0.062,-0.066,0.013833333,0.131
,,6,93,27,10,1,-0.66,0.049166667,0.002,0.371666667,0.006666667,-0.071833333,0.005,0.065,-0.058166667,-0.055
,,7,104,34,11,1,0.75,-0.013833333,0.051,-0.048333333,0.036666667,-0.053833333,0.051,0.018,0.000833333,-0.037
,,8,103,30,15,1,0.93,0.002166667,0.023,-0.138333333,0.002666667,-0.048833333,0.01,0.046,0.089833333,-0.012
,,9,106,26,16,1,-0.91,0.045166667,-0.032,-0.278333333,-0.000333333,-0.025833333,-0.008,0.027,0.068833333,-0.037
,Miguel Sano,4,45,5,2,1,-0.351666667,0.0255,-0.133833333,0.305,-0.050333333,-0.062833333,0.025833333,0.113333333,-0.104666667,-0.051166667
,,5,84,16,10,1,0.228333333,-0.0115,-0.032833333,-0.165,0.003666667,-0.078833333,0.071833333,0.075333333,0.044333333,-0.060166667
,,6,71,18,8,1,0.598333333,0.0245,0.046166667,-0.225,0.020666667,0.085166667,0.000833333,-0.106666667,0.065333333,-0.025166667
,,7,75,19,11,1,-0.351666667,0.0455,0.100166667,0.045,-0.000333333,-0.020833333,-0.063166667,0.021333333,-0.111666667,0.016833333
,,8,94,23,11,1,0.138333333,-0.0205,0.040166667,0.035,0.023666667,0.133166667,-0.012166667,-0.156666667,0.085333333,0.032833333
,,9,89,18,11,1,-0.261666667,-0.0635,-0.019833333,0.005,0.002666667,-0.055833333,-0.023166667,0.053333333,0.021333333,0.086833333
HOU,Yordan Alvarez,4,73,23,10,1,0.475,-0.037333333,0.0745,-0.196666667,-0.0585,0.003666667,0.129666667,0.054666667,-0.137666667,-0.092166667
,,5,85,26,9,1,-0.405,0.031666667,0.0745,-0.276666667,0.1025,-0.040333333,-0.029333333,-0.061333333,0.042333333,-0.002166667
,,6,100,28,11,1,0.305,0.075666667,0.0115,0.223333333,0.0245,0.058666667,-0.048333333,-0.083333333,0.052333333,-0.028166667
,,7,75,16,7,1,-0.245,0.029666667,-0.0995,0.013333333,-0.0685,0.104666667,-0.094333333,-0.036333333,0.112333333,0.064833333
,,8,102,30,17,1,0.065,-0.111333333,-0.0455,0.003333333,-0.0015,-0.044333333,0.070666667,0.045666667,0.022333333,0.040833333
,,9,90,23,12,1,-0.195,0.011666667,-0.0155,0.233333333,0.0015,-0.082333333,-0.028333333,0.080666667,-0.091666667,0.016833333
,Jose Altuve,4,66,18,4,1,-0.553333333,-0.0135,0.031333333,-0.253333333,0.129666667,0.021666667,-0.020166667,-0.1515,-0.0745,0.0335
,,5,112,36,9,1,0.986666667,0.0555,0.053333333,0.026666667,-0.016333333,0.042666667,-0.000166667,-0.0255,0.0245,-0.0555
,,6,101,26,13,1,-0.233333333,0.0265,-0.043666667,0.296666667,-0.062333333,0.015666667,-0.055166667,0.0465,0.1425,0.0295
,,7,100,26,13,1,1.276666667,-0.0645,-0.038666667,-0.233333333,-0.010333333,-0.100333333,0.021833333,0.1105,0.0435,0.0425
,,8,110,27,7,1,-1.333333333,0.0325,0.008333333,-0.133333333,0.019666667,-0.023333333,0.064833333,0.0035,-0.1515,-0.0975
,,9,101,28,16,1,-0.143333333,-0.0365,-0.010666667,0.296666667,-0.060333333,0.043666667,-0.011166667,0.0165,0.0155,0.0475
LAA,Shohei Ohtani,4,92,26,16,1,0.661666667,0.087333333,0.005833333,-0.378333333,0.012833333,-0.005,-0.018,-0.008,-0.017333333,-0.069333333
,,5,94,23,13,1,0.041666667,-0.007666667,-0.019166667,-0.098333333,-0.057166667,-0.003,0.153,0.06,-0.087333333,-0.145333333
,,6,81,25,20,1,0.671666667,0.017333333,-0.017166667,0.101666667,0.009833333,-0.015,-0.051,0.005,0.281666667,0.034666667
,,7,85,24,15,1,-0.248333333,0.015333333,0.074833333,-0.058333333,0.091833333,-0.109,-0.01,0.018,0.112666667,-0.005333333
,,8,94,19,8,1,-0.738333333,-0.064666667,-0.055166667,0.111666667,-0.054166667,0.003,-0.035,0.051,-0.152333333,0.098666667
,,9,83,20,7,1,-0.388333333,-0.047666667,0.010833333,0.321666667,-0.003166667,0.129,-0.039,-0.126,-0.137333333,0.086666667
,Jared Walsh,4,82,27,9,1,0.71,-0.018166667,0.048833333,0.043333333,0.040833333,-0.115833333,0.0005,0.074666667,-0.0875,0.017666667
,,5,104,30,15,1,-0.38,-0.030166667,0.009833333,-0.046666667,-0.058166667,0.065166667,0.0615,-0.006333333,0.1385,-0.031333333
,,6,101,24,17,1,0.33,-0.049166667,-0.032166667,-0.096666667,-0.045166667,0.034166667,-0.0225,0.010666667,0.1825,0.071666667
,,7,77,16,5,1,-0.57,0.029833333,-0.088166667,-0.266666667,-0.005166667,0.001166667,-0.0335,0.003666667,-0.1435,0.003666667
,,8,66,17,5,1,0.08,0.044833333,-0.001166667,0.243333333,0.063833333,0.020166667,-0.0465,-0.084333333,0.0715,0.001666667
,,9,89,29,10,1,-0.17,0.022833333,0.062833333,0.123333333,0.003833333,-0.004833333,0.0405,0.001666667,-0.1615,-0.063333333
OAK,Jed Lowrie,4,90,22,9,1,-0.181666667,-0.033166667,-0.018833333,0.211666667,0.097166667,-0.086833333,0.0095,-0.010333333,0.004,0.023666667
,,5,94,23,9,1,-0.611666667,-0.001166667,0.055166667,-0.068333333,0.002166667,0.042166667,-0.0165,-0.044333333,-0.053,0.017666667
,,6,78,20,4,1,0.118333333,0.052833333,0.015166667,0.101666667,0.007166667,0.016166667,0.0235,-0.023333333,0.032,-0.076333333
,,7,85,25,8,1,1.278333333,-0.033166667,0.026166667,-0.058333333,0.012166667,0.008166667,-0.0765,-0.020333333,0.045,0.109666667
,,8,69,14,5,1,-0.361666667,0.007833333,-0.027833333,-0.058333333,-0.005833333,0.000166667,-0.0195,0.005666667,0.002,0.011666667
